Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= 8000
          40         100  2.957150804308878E-007 -1.219245253712340E-023 
          40         101  3.180979932040500E-007 1.016378360734205E-022 
          40         102  3.013940237218530E-007 -7.993103778238407E-023 
          40         103  -5.482393007473927E-008 -5.054814054689170E-023 
          40         104  -5.469305705740016E-008 3.587896913304350E-023 
          40         105  -3.936103487317617E-008 2.146843260482672E-023 
          40         106  -2.626531348816621E-008 8.371865396507428E-024 
          40         107  -2.337166245408739E-008 -4.659388543134735E-024 
          40         108  -4.263795969799666E-008 -7.636079081461299E-024 
          41          37  8.210907877519836E-003 8.356297759686233E-018 
          41          38  2.936439346563314E-003 -5.725223482083537E-018 
          41          39  8.142523178806602E-003 -6.557516802540349E-019 
          41          40  -0.110087290196947 -4.986562130566329E-017 
          41          41  0.562919203197264 -9.570172274545925E-017 
          41          42  -0.110386343717837 9.136210027787439E-018 
          41          43  -4.398908089824658E-003 4.921410452710313E-018 
          41          44  -4.382939654958845E-003 1.068315765613228E-017 
          41          45  1.434197975848928E-002 1.619639439953085E-018 
          41          46  -0.103954302419879 -4.179077423794898E-017 
          41          47  -0.103400319854022 5.282073964777845E-017 
          41          48  1.430850292605831E-002 -2.023817881886241E-018 
          41          49  1.253014626402540E-004 -2.197823810366610E-018 
          41          50  -4.206555927437415E-003 -7.257612007559958E-018 
          41          51  6.887250479322972E-003 3.744451950789981E-018 
          41          52  1.129734509790012E-002 -7.864666943573482E-018 
          41          53  6.712527445569330E-003 4.739250477776413E-019 
          41          54  -4.180047030652029E-003 9.444341200203799E-019 
          41          55  5.235353684645826E-004 4.400197273161772E-019 
          41          56  -9.990420259480017E-004 7.657743986378532E-019 
          41          57  -2.280121427253669E-003 5.327219930741585E-019 
          41          58  -2.225557021112452E-003 -1.756572227772452E-019 
          41          59  -9.401506414804073E-004 -1.986664741240918E-019 
          41          60  5.047192973688522E-004 -1.055696462125707E-019 
          41          61  9.686291667976819E-005 3.213693387675841E-020 
          41          62  2.711541013337107E-004 -2.548157815236411E-019 
          41          63  1.249700275969734E-004 1.704249056659901E-019 
          41          64  2.595318340995541E-004 -1.556774954260098E-019 
