Nx=  24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 1200 M2= 6000
     4     3    0.92261582   19.30432363
     4     4    0.92262127   20.22694490
     4     5    0.92261966   21.14956456
     4     6    0.92260894   22.07217351
     5     1    0.92559421   22.99776771
     5     2    0.92561822   23.92338594
     5     3    0.92561716   24.84900310
     5     4    0.92560105   25.77460415
     5     5    0.92558163   26.70018578
     5     6    0.92557481   27.62576059
     6     1    0.91088456   28.53664514
     6     2    0.91091050   29.44755565
     6     3    0.91091560   30.35847125
     6     4    0.91089796   31.26936921
     6     5    0.91087284   32.18024205
     6     6    0.91086115   33.09110320
     7     1    0.90710898   33.99821218
     7     2    0.90712759   34.90533977
     7     3    0.90714853   35.81248831
     7     4    0.90715400   36.71964231
     7     5    0.90713896   37.62678126
     7     6    0.90711230   38.53389357
     8     1    0.91849576   39.45238933
     8     2    0.91851524   40.37090457
     8     3    0.91853801   41.28944259
     8     4    0.91854671   42.20798930
     8     5    0.91853315   43.12652245
     8     6    0.91850287   44.04502531
     9     1    0.92060939   44.96563470
     9     2    0.92063750   45.88627220
     9     3    0.92065034   46.80692254
     9     4    0.92064037   47.72756291
     9     5    0.92061704   48.64817995
     9     6    0.92059451   49.56877446
    10     1    0.91000233   50.47877679
    10     2    0.91003082   51.38880761
    10     3    0.91004475   52.29885237
    10     4    0.91003402   53.20888639
    10     5    0.91000875   54.11889514
    10     6    0.90998554   55.02888068
    11     1    0.90904045   55.93792112
    11     2    0.90906095   56.84698208
    11     3    0.90908536   57.75606744
    11     4    0.90909301   58.66516045
    11     5    0.90907671   59.57423716
    11     6    0.90904470   60.48328186
    12     1    0.91936627   61.40264813
    12     2    0.91938657   62.32203471
    12     3    0.91941128   63.24144599
    12     4    0.91942001   64.16086599
    12     5    0.91940470   65.08027070
    12     6    0.91937206   65.99964275
    13     1    0.91937124   66.91901399
    13     2    0.91939974   67.83841373
    13     3    0.91941549   68.75782922
    13     4    0.91940674   69.67723595
    13     5    0.91938244   70.59661839
    13     6    0.91935725   71.51597564
    14     1    0.90904852   72.42502416
    14     2    0.90907622   73.33410038
    14     3    0.90909270   74.24319309
    14     4    0.90908469   75.15227777
    14     5    0.90906047   76.06133825
    14     6    0.90903478   76.97037302
    15     1    0.91000523   77.88037825
    15     2    0.91002349   78.79040175
    15     3    0.91004900   79.70045075
    15     4    0.91005943   80.61051018
    15     5    0.91004573   81.52055590
    15     6    0.91001271   82.43056861
    16     1    0.92061549   83.35118410
    16     2    0.92063337   84.27181748
    16     3    0.92065708   85.19247456
    16     4    0.92066701   86.11314157
    16     5    0.92065466   87.03379623
    16     6    0.92062226   87.95441849
    17     1    0.91851571   88.87293420
    17     2    0.91854237   89.79147657
    17     3    0.91855631   90.71003288
    17     4    0.91854755   91.62858043
    17     5    0.91852520   92.54710562
    17     6    0.91850064   93.46560626
    18     1    0.90712923   94.37273549
    18     2    0.90715335   95.27988885
    18     3    0.90716826   96.18705711
    18     4    0.90716518   97.09422229
    18     5    0.90714370   98.00136599
    18     6    0.90711898   98.90848497
    19     1    0.91088462   99.81936958
    19     2    0.91089670  100.73026628
    19     3    0.91092064  101.64118692
    19     4    0.91093808  102.55212501
    19     5    0.91093436  103.46305937
    19     6    0.91090324  104.37396261
    20     1    0.92559362  105.29955623
    20     2    0.92560112  106.22515735
    20     3    0.92562051  107.15077786
    20     4    0.92563356  108.07641143
    20     5    0.92563562  109.00204704
    20     6    0.92561159  109.92765863
    21     1    0.92261543  110.85027406
    21     2    0.92262601  111.77290007
    21     3    0.92262771  112.69552778
    21     4    0.92262239  113.61815017
    21     5    0.92261937  114.54076954
    21     6    0.92260700  115.46337654
    22     1    0.90547391  116.36885044
    22     2    0.90547633  117.27432677
    22     3    0.90548224  118.17980901
    22     4    0.90548429  119.08529330
    22     5    0.90548373  119.99077703
    22     6    0.90546896  120.89624599
    23     1    0.90729845  121.80354443
    23     2    0.90730442  122.71084885
    23     3    0.90732209  123.61817095
    23     4    0.90733293  124.52550388
    23     5    0.90733033  125.43283421
    23     6    0.90730567  126.34013988
    24     1    0.94330217  127.28344206
    24     2    0.94330757  128.22674962
    24     3    0.94331645  129.17006607
    24     4    0.94331860  130.11338467
    24     5    0.94331293  131.05669760
    24     6    0.94330240  132.00000000
 
 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       14000
     1     1    0.94333871    0.94333871
     1     2    0.94334629    1.88668500
     1     3    0.94335022    2.83003522
     1     4    0.94334861    3.77338383
     1     5    0.94334222    4.71672605
     1     6    0.94333828    5.66006433
     2     1    0.90738631    6.56745064
     2     2    0.90740480    7.47485544
     2     3    0.90740634    8.38226178
     2     4    0.90739811    9.28965989
     2     5    0.90738534   10.19704522
     2     6    0.90738123   11.10442645
     3     1    0.90553160   12.00995806
     3     2    0.90554330   12.91550136
     3     3    0.90554383   13.82104519
     3     4    0.90554227   14.72658746
     3     5    0.90553752   15.63212498
     3     6    0.90553568   16.53766065
     4     1    0.92251136   17.46017201
     4     2    0.92252162   18.38269363
     4     3    0.92252418   19.30521782
     4     4    0.92252799   20.22774580
     4     5    0.92252624   21.15027204
     4     6    0.92251798   22.07279002
     5     1    0.92550190   22.99829192
     5     2    0.92552015   23.92381207
     5     3    0.92551876   24.84933083
     5     4    0.92550651   25.77483734
     5     5    0.92549236   26.70032970
     5     6    0.92548792   27.62581762
     6     1    0.91102374   28.53684137
     6     2    0.91104412   29.44788548
     6     3    0.91104646   30.35893194
     6     4    0.91103369   31.26996563
     6     5    0.91101575   32.18098138
     6     6    0.91100695   33.09198833
     7     1    0.90724653   33.99923486
     7     2    0.90726532   34.90650018
     7     3    0.90727964   35.81377982
     7     4    0.90728318   36.72106300
     7     5    0.90727213   37.62833514
     7     6    0.90725135   38.53558649
     8     1    0.91834479   39.45393128
     8     2    0.91836458   40.37229586
     8     3    0.91838158   41.29067744
     8     4    0.91838747   42.20906490
     8     5    0.91837658   43.12744148
     8     6    0.91835448   44.04579596
     9     1    0.92044740   44.96624336
     9     2    0.92047245   45.88671581
     9     3    0.92048122   46.80719704
     9     4    0.92047326   47.72767030
     9     5    0.92045517   48.64812547
     9     6    0.92044169   49.56856716
    10     1    0.91015708   50.47872424
    10     2    0.91018241   51.38890665
    10     3    0.91019250   52.29909915
    10     4    0.91018460   53.20928375
    10     5    0.91016520   54.11944895
    10     6    0.91015108   55.02960003
    11     1    0.90919927   55.93879930
    11     2    0.90921943   56.84801873
    11     3    0.90923745   57.75725619
    11     4    0.90924253   58.66649872
    11     5    0.90923026   59.57572898
    11     6    0.90920921   60.48493819
    12     1    0.91919215   61.40413034
    12     2    0.91921194   62.32334228
    12     3    0.91922931   63.24257159
    12     4    0.91923557   64.16180716
    12     5    0.91922346   65.08103062
    12     6    0.91920215   66.00023276
    13     1    0.91920075   66.91943352
    13     2    0.91922558   67.83865909
    13     3    0.91923682   68.75789591
    13     4    0.91923023   69.67712614
    13     5    0.91921154   70.59633768
    13     6    0.91919597   71.51553365
    14     1    0.90920389   72.42473755
    14     2    0.90922848   73.33396602
    14     3    0.90924030   74.24320632
    14     4    0.90923460   75.15244092
    14     5    0.90921606   76.06165698
    14     6    0.90920002   76.97085701
    15     1    0.91013752   77.88099453
    15     2    0.91015536   78.79114989
    15     3    0.91017451   79.70132439
    15     4    0.91018205   80.61150644
    15     5    0.91017166   81.52167810
    15     6    0.91014967   82.43182777
    16     1    0.92042617   83.35225394
    16     2    0.92044362   84.27269756
    16     3    0.92046044   85.19315801
    16     4    0.92046788   86.11362589
    16     5    0.92045816   87.03408404
    16     6    0.92043704   87.95452108
    17     1    0.91834329   88.87286437
    17     2    0.91836648   89.79123086
    17     3    0.91837668   90.70960753
    17     4    0.91837016   91.62797769
    17     5    0.91835292   92.54633061
    17     6    0.91833781   93.46466842
    18     1    0.90724231   94.37191073
    18     2    0.90726266   95.27917340
    18     3    0.90727362   96.18644702
    18     4    0.90726956   97.09371658
    18     5    0.90725402   98.00097060
    18     6    0.90723949   98.90821009
    19     1    0.91099489   99.81920497
    19     2    0.91100338  100.73020836
    19     3    0.91102161  101.64122997
    19     4    0.91103492  102.55226489
    19     5    0.91103187  103.46329676
