Nx=24 Ny= 6 t= 0.000 J= 0.000 N_up=132 N_down=  0 M1= 3600 M2= ****
          41          53  -2.111832688877490E-003 -7.557995620196222E-020 
          41          54  -2.362008869594230E-003 -1.786911243795811E-019 
          41          55  -1.218552418499811E-003 7.301724965489610E-020 
          41          56  5.248971764884821E-004 -1.433601398001154E-019 
          41          57  -2.065865691886757E-003 -4.418023829867947E-020 
          41          58  -1.005417044662635E-003 5.467083906794225E-020 
          41          59  2.504878090414658E-004 -2.490642914263140E-019 
          41          60  -1.927834982726513E-004 -3.460711815946268E-019 
          41          61  -2.753547585795962E-003 2.118587605313511E-019 
          41          62  -8.385421939182578E-004 -1.230161188273122E-019 
          41          63  -3.270239814698313E-003 -9.065711362725943E-020 
          41          64  -5.091771924013807E-004 -1.172448664148502E-019 
          41          65  -2.960107621459840E-003 -1.483760393128692E-019 
          41          66  -1.208050284848634E-003 -4.472296892643870E-019 
          41          67  -9.180559112805078E-004 -1.246779294965410E-019 
          41          68  -7.898854041410363E-005 1.657268325136291E-019 
          41          69  -6.217678742765125E-004 -1.722717399093713E-019 
          41          70  -5.453470525992667E-004 -6.044710142108534E-020 
          41          71  -6.213181367355585E-004 -8.439610208109940E-020 
          41          72  -2.336237327308206E-004 4.481960676797473E-019 
          41          73  -1.694833580097183E-003 1.014233420838524E-019 
          41          74  -7.568594222410138E-004 -2.469159573077620E-019 
          41          75  -1.567214884710842E-003 -3.182601157360222E-019 
          41          76  -9.263908699609262E-004 -2.694711624386666E-019 
          41          77  -1.875249345488643E-003 -5.159830054408509E-020 
          41          78  -7.900353865925455E-004 2.375589177168232E-019 
          41          79  -2.047478134170391E-004 -6.765922053731241E-021 
          41          80  -1.426117846620461E-004 1.476764828308889E-019 
          41          81  -3.723360963952736E-004 6.741088883755286E-020 
          41          82  -9.504991798658423E-007 -8.975534190359766E-021 
          41          83  -1.917548090123729E-004 -1.759536605599578E-020 
          41          84  -2.077100268340955E-004 3.570043286595839E-020 
          41          85  -5.767968446735049E-004 4.671578861873975E-020 
          41          86  -4.715158148583398E-004 2.077417222191236E-020 
          41          87  -4.905184475235246E-004 -2.531616480442735E-020 
          41          88  -3.034579948822946E-004 4.239993620543884E-020 
          41          89  -4.145827343937506E-004 -1.582156818472559E-020 
          41          90  -3.932012391372079E-004 8.971159695427849E-020 
          41          91  -2.287380866153846E-005 -3.133949490958322E-021 
          41          92  -3.445830801101021E-005 1.829826723116397E-021 
          41          93  -2.234030177352883E-005 -2.543830884784063E-020 
          41          94  -2.719725005608227E-005 -6.561017597112591E-020 
          41          95  -5.831590982648846E-005 1.673734537793533E-019 
          41          96  1.015247415778225E-005 9.789056198436332E-020 
          41          97  -1.861019287096382E-006 3.018833065536230E-020 
          41          98  -3.936894841551599E-005 -9.268492487790269E-021 
          41          99  -1.429954546324315E-005 6.133799195979241E-020 
          41         100  -7.490235460050995E-005 8.706301367776848E-021 
          41         101  -3.646706826459246E-007 2.733859215719711E-020 
          41         102  -1.354569492483303E-005 -2.049131196506072E-020 
          41         103  1.862817296223838E-005 -2.952878820961983E-021 
          41         104  1.780124045463918E-005 3.058152263095819E-021 
          41         105  1.515155712187006E-005 6.934859711714734E-021 
          41         106  1.594880575412162E-005 1.685458587445571E-021 
          41         107  1.886533910435181E-005 2.358081873939898E-021 
          41         108  2.104557563788688E-005 -1.401152985236564E-020 
          42          37  -6.617812587308024E-002 -9.230707070374822E-018 
          42          38  5.917784470311045E-004 9.930665581332385E-020 
          42          39  4.548076479195140E-004 1.018673274306776E-019 
          42          40  4.378520912473692E-004 -4.513442078225156E-019 
          42          41  -7.056218114073691E-002 5.956523909947459E-019 
          42          42  0.421224161798161 7.067724400266545E-018 
          42          43  2.022641597792273E-003 -5.312983404428248E-019 
          42          44  -4.009556841308580E-003 1.112155455856570E-019 
          42          45  -3.641388101574344E-003 1.640043128314799E-019 
          42          46  2.135542161626108E-003 -9.297826887780921E-019 
          42          47  -7.818358031893136E-002 7.921799013037391E-018 
          42          48  -7.471236941195118E-002 7.407359658594784E-018 
          42          49  -5.452139280432305E-004 6.254043508051647E-019 
          42          50  -1.806200132437076E-003 -9.073645924468567E-019 
          42          51  -1.344744328683406E-003 1.212976387734324E-018 
          42          52  1.250768467589474E-004 1.514182307557585E-019 
          42          53  2.344643498947278E-003 1.968183034977008E-019 
          42          54  3.267132639143596E-004 1.052316267451943E-018 
          42          55  -1.688615668345265E-003 -2.560392249107730E-019 
          42          56  -1.743731836949982E-003 -3.520169558317430E-019 
          42          57  1.726056333394789E-004 -7.656300594382862E-019 
          42          58  -4.597775024232842E-003 -1.197272994917150E-019 
          42          59  -4.227410187022698E-003 4.539064113254886E-019 
          42          60  -3.511850379664347E-006 -2.960615634926948E-019 
          42          61  1.267621894596527E-005 1.131502878883197E-019 
          42          62  -8.089219111154167E-004 4.483640887873469E-019 
          42          63  -2.697350180618013E-004 1.522045894440378E-019 
          42          64  -2.286004303520237E-003 -2.853987632181366E-019 
          42          65  -4.509433742751505E-004 1.198669256317364E-019 
          42          66  -7.924756728125351E-004 -3.121519747252656E-019 
          42          67  -1.591376479993903E-003 -1.771544437489840E-019 
          42          68  -8.277908403222771E-004 2.917297038323843E-019 
