 Nx=          24 Ny=           6 t=  0.000000000000000E+000 J=
  0.000000000000000E+000 N_up=         132 N_down=           0 M1=        3600 
 M2=       12000
    22     5    0.92049715  120.06335072
    22     6    0.92045711  120.98380783
    23     1    0.92031477  121.90412260
    23     2    0.92035113  122.82447374
    23     3    0.92034791  123.74482165
    23     4    0.92034681  124.66516845
    23     5    0.92034859  125.58551705
    23     6    0.92031145  126.50582850
    24     1    0.91812259  127.42395109
    24     2    0.91815706  128.34210815
    24     3    0.91815409  129.26026223
    24     4    0.91815337  130.17841560
    24     5    0.91815664  131.09657224
    24     6    0.91812007  132.01469231
    25     1    0.91803599  132.93272830
    25     2    0.91806903  133.85079732
    25     3    0.91806799  134.76886531
    25     4    0.91807134  135.68693665
    25     5    0.91807572  136.60501237
    25     6    0.91803545  137.52304782
    26     1    0.92021534  138.44326316
    26     2    0.92025414  139.36351729
    26     3    0.92025386  140.28377116
    26     4    0.92025593  141.20402709
    26     5    0.92025898  142.12428607
    26     6    0.92021708  143.04450314
    27     1    0.92052851  143.96503165
    27     2    0.92057011  144.88560176
    27     3    0.92056809  145.80616985
    27     4    0.92056742  146.72673727
    27     5    0.92056925  147.64730653
    27     6    0.92052859  148.56783512
    28     1    0.91837748  149.48621260
    28     2    0.91841741  150.40463001
    28     3    0.91841359  151.32304360
    28     4    0.91841114  152.24145474
    28     5    0.91841206  153.15986680
    28     6    0.91837905  154.07824584
    29     1    0.91784617  154.99609201
    29     2    0.91788326  155.91397527
    29     3    0.91788206  156.83185733
    29     4    0.91788396  157.74974129
    29     5    0.91788772  158.66762901
    29     6    0.91785064  159.58547965
    30     1    0.91997089  160.50545054
    30     2    0.92000807  161.42545860
    30     3    0.92000790  162.34546650
    30     4    0.92001112  163.26547762
    30     5    0.92001518  164.18549281
    30     6    0.91997611  165.10546891
    31     1    0.92072861  166.02619752
    31     2    0.92076905  166.94696658
    31     3    0.92076690  167.86773347
    31     4    0.92076588  168.78849935
    31     5    0.92076677  169.70926612
    31     6    0.92073095  170.62999708
    32     1    0.91865780  171.54865488
    32     2    0.91869822  172.46735311
    32     3    0.91869436  173.38604746
    32     4    0.91869142  174.30473888
    32     5    0.91869222  175.22343110
    32     6    0.91865901  176.14209011
    33     1    0.91767789  177.05976800
    33     2    0.91771439  177.97748239
    33     3    0.91771271  178.89519510
    33     4    0.91771435  179.81290945
    33     5    0.91771818  180.73062763
    33     6    0.91768200  181.64830962
    34     1    0.91970927  182.56801889
    34     2    0.91974501  183.48776390
    34     3    0.91974531  184.40750921
    34     4    0.91974943  185.32725864
    34     5    0.91975399  186.24701263
    34     6    0.91971534  187.16672797
    35     1    0.92094087  188.08766884
    35     2    0.92098026  189.00864910
    35     3    0.92097900  189.92962810
    35     4    0.92097874  190.85060684
    35     5    0.92097991  191.77158675
    35     6    0.92094409  192.69253084
    36     1    0.91896803  193.61149887
    36     2    0.91900823  194.53050709
    36     3    0.91900422  195.44951132
    36     4    0.91900077  196.36851208
    36     5    0.91900113  197.28751321
    36     6    0.91896904  198.20648225
    37     1    0.91747443  199.12395668
    37     2    0.91750921  200.04146589
    37     3    0.91750714  200.95897303
    37     4    0.91750862  201.87648165
    37     5    0.91751278  202.79399443
    37     6    0.91747827  203.71147269
    38     1    0.91944833  204.63092103
    38     2    0.91948110  205.55040213
    38     3    0.91948226  206.46988439
    38     4    0.91948835  207.38937274
    38     5    0.91949436  208.30886709
    38     6    0.91945578  209.22832287
    39     1    0.92131168  210.14963454
    39     2    0.92134995  211.07098450
    39     3    0.92135091  211.99233541
    39     4    0.92135182  212.91368723
    39     5    0.92135311  213.83504034
    39     6    0.92131605  214.75635639
    40     1    0.91927742  215.67563381
    40     2    0.91932015  216.59495396
    40     3    0.91931606  217.51427002
    40     4    0.91930982  218.43357985
    40     5    0.91930723  219.35288708
    40     6    0.91927592  220.27216301
    41     1    0.91658618  221.18874918
    41     2    0.91662268  222.10537186
    41     3    0.91662148  223.02199334
    41     4    0.91662195  223.93861528
    41     5    0.91662380  224.85523909
    41     6    0.91658996  225.77182904
    42     1    0.91865621  226.69048526
    42     2    0.91868373  227.60916899
    42     3    0.91868950  228.52785849
    42     4    0.91870024  229.44655873
    42     5    0.91870613  230.36526485
    42     6    0.91866492  231.28392978
    43     1    0.92365421  232.20758399
    43     2    0.92367769  233.13126168
    43     3    0.92369142  234.05495310
    43     4    0.92370423  234.97865732
    43     5    0.92371055  235.90236787
    43     6    0.92366956  236.82603743
    44     1    0.92299773  237.74903516
    44     2    0.92303550  238.67207066
    44     3    0.92303259  239.59510325
    44     4    0.92302195  240.51812520
    44     5    0.92301471  241.44113991
    44     6    0.92297775  242.36411766
    45     1    0.92350421  243.28762187
    45     2    0.92351820  244.21114007
    45     3    0.92352186  245.13466194
    45     4    0.92353095  246.05819288
    45     5    0.92354453  246.98173742
    45     6    0.92351755  247.90525497
    46     1    0.90525176  248.81050673
    46     2    0.90523376  249.71574049
    46     3    0.90523083  250.62097131
    46     4    0.90524526  251.52621657
    46     5    0.90526034  252.43147692
    46     6    0.90524620  253.33672312
    47     1    0.89978615  254.23650927
    47     2    0.89979024  255.13629951
    47     3    0.89980204  256.03610155
    47     4    0.89981540  256.93591694
    47     5    0.89982494  257.83574188
    47     6    0.89979859  258.73554047
    48     1    0.87740227  259.61294274
    48     2    0.87740623  260.49034897
